Unnamed: 0,id,country,year,wealth,wealthpooled,households,LATNUM,LONGNUM
1752,1752_Burkina Faso_2014,Burkina Faso,2014,-0.521770775,-0.55482626,26,11.888232,-2.653286
1753,1753_Burkina Faso_2014,Burkina Faso,2014,-0.253845215,-0.014996166,25,12.205949,-2.493548
1756,1756_Burkina Faso_2014,Burkina Faso,2014,1.041450739,0.951192796,26,11.102745,-2.097794
1758,1758_Burkina Faso_2014,Burkina Faso,2014,-0.399900377,-0.2517308,26,11.468408,-2.298615
1760,1760_Burkina Faso_2014,Burkina Faso,2014,-0.181638792,-0.169591501,25,11.419058,-2.064225
1761,1761_Burkina Faso_2014,Burkina Faso,2014,-0.374400407,-0.216091171,25,11.55974,-1.831869
1763,1763_Burkina Faso_2014,Burkina Faso,2014,-0.518983185,-0.485713184,25,11.992935,-1.96583
1764,1764_Burkina Faso_2014,Burkina Faso,2014,-0.308107078,-0.18428652,24,12.001179,-1.295763
1765,1765_Burkina Faso_2014,Burkina Faso,2014,-0.349935204,-0.107873648,25,12.082707,-1.316252
1767,1767_Burkina Faso_2014,Burkina Faso,2014,-0.428863078,-0.310852557,26,11.925923,-1.243051
1768,1768_Burkina Faso_2014,Burkina Faso,2014,-0.299519598,-0.190933928,25,11.411188,-1.390102
1771,1771_Burkina Faso_2014,Burkina Faso,2014,-0.56016922,-0.35807094,26,11.142909,-1.18998
1772,1772_Burkina Faso_2014,Burkina Faso,2014,-0.531477213,-0.419926405,25,11.095196,-0.951607
1775,1775_Burkina Faso_2014,Burkina Faso,2014,-0.669232011,-0.460536361,25,11.662312,-0.93805
1777,1777_Burkina Faso_2014,Burkina Faso,2014,-0.316060781,-0.291294724,26,11.43101,-0.672597
1778,1778_Burkina Faso_2014,Burkina Faso,2014,-0.202256665,-0.21843937,24,11.409688,-0.843453
1779,1779_Burkina Faso_2014,Burkina Faso,2014,-0.440306932,-0.348753691,26,11.621299,-1.063965
1780,1780_Burkina Faso_2014,Burkina Faso,2014,-0.504820764,-0.369719356,26,11.547005,-1.182252
1781,1781_Burkina Faso_2014,Burkina Faso,2014,-0.442667305,-0.265545279,26,12.538844,-0.052906
1782,1782_Burkina Faso_2014,Burkina Faso,2014,-0.822007298,-0.550258219,26,12.632622,0.230564
1783,1783_Burkina Faso_2014,Burkina Faso,2014,-0.673067689,-0.439829946,26,12.767149,-0.047963
1784,1784_Burkina Faso_2014,Burkina Faso,2014,-0.655422688,-0.590612292,26,13.504446,-0.224911
1785,1785_Burkina Faso_2014,Burkina Faso,2014,-0.754684985,-0.455165356,26,13.074334,-0.010218
1787,1787_Burkina Faso_2014,Burkina Faso,2014,-0.843733072,-0.637769401,26,12.743842,-0.07042
1788,1788_Burkina Faso_2014,Burkina Faso,2014,-0.507183075,-0.484288216,26,12.076488,-0.11615
1789,1789_Burkina Faso_2014,Burkina Faso,2014,1.149991155,0.86961031,26,12.044412,0.355159
1791,1791_Burkina Faso_2014,Burkina Faso,2014,-0.801300824,-0.672380328,24,12.466105,1.1447
1793,1793_Burkina Faso_2014,Burkina Faso,2014,-0.667122185,-0.497456491,23,12.627124,2.027678
1794,1794_Burkina Faso_2014,Burkina Faso,2014,-0.748837948,-0.477353394,24,12.10299,1.761005
1795,1795_Burkina Faso_2014,Burkina Faso,2014,1.022638798,0.935640633,25,12.512462,1.526572
1796,1796_Burkina Faso_2014,Burkina Faso,2014,-0.575461626,-0.457747489,25,11.663039,1.762424
1797,1797_Burkina Faso_2014,Burkina Faso,2014,-0.620231986,-0.458076417,25,11.98569,1.590727
1798,1798_Burkina Faso_2014,Burkina Faso,2014,0.170052171,0.159718767,23,11.879312,1.917647
1799,1799_Burkina Faso_2014,Burkina Faso,2014,-0.991785765,-0.796040893,26,12.764676,1.062502
1800,1800_Burkina Faso_2014,Burkina Faso,2014,-0.580143094,-0.675188005,26,11.040433,0.609647
1801,1801_Burkina Faso_2014,Burkina Faso,2014,-0.242130801,-0.232804596,25,11.385691,-4.477985
1802,1802_Burkina Faso_2014,Burkina Faso,2014,-0.336981595,-0.357145518,25,11.302628,-4.402436
1803,1803_Burkina Faso_2014,Burkina Faso,2014,-0.070965417,0.052584618,24,11.185826,-4.616731
1805,1805_Burkina Faso_2014,Burkina Faso,2014,-0.326484621,-0.23785834,26,11.572474,-4.325596
1806,1806_Burkina Faso_2014,Burkina Faso,2014,-0.04743192,0.040170413,26,10.857644,-4.650591
1810,1810_Burkina Faso_2014,Burkina Faso,2014,1.757728457,0.952066243,26,11.198848,-4.314588
1811,1811_Burkina Faso_2014,Burkina Faso,2014,2.331545591,1.455580711,25,11.179109,-4.325899
1813,1813_Burkina Faso_2014,Burkina Faso,2014,-0.304749221,-0.303069025,26,11.835208,-4.847457
1815,1815_Burkina Faso_2014,Burkina Faso,2014,-0.363390923,-0.474077046,22,11.533419,-5.026302
1817,1817_Burkina Faso_2014,Burkina Faso,2014,-0.220852867,-0.085894912,21,11.570351,-3.626658
1819,1819_Burkina Faso_2014,Burkina Faso,2014,0.036069598,-0.134337068,25,11.241789,-3.684767
1820,1820_Burkina Faso_2014,Burkina Faso,2014,-0.405476242,-0.417572439,24,12.900581,-1.946889
1821,1821_Burkina Faso_2014,Burkina Faso,2014,-0.347778857,-0.234427452,26,12.974374,-1.834488
1822,1822_Burkina Faso_2014,Burkina Faso,2014,-0.181546152,-0.040264562,26,12.999117,-1.99131
1823,1823_Burkina Faso_2014,Burkina Faso,2014,-0.479490459,-0.455955863,22,12.733508,-2.165134
